"TIME","GEO","SEX","UNIT","Value"
"2019W02","Albania","Males","Number","302"
"2019W02","Albania","Females","Number","261"
"2019W02","Serbia","Total","Number","2 227"
"2019W02","Serbia","Males","Number","1 097"
"2019W02","Serbia","Females","Number","1 130"
"2019W02","Andorra","Total","Number","6"
"2019W02","Andorra","Males","Number","3"
"2019W02","Andorra","Females","Number","3"
"2019W02","Armenia","Total","Number","497"
"2019W02","Armenia","Males","Number","232"
"2019W02","Armenia","Females","Number","265"
"2019W02","Georgia","Total","Number","1 153"
"2019W02","Georgia","Males","Number","578"
"2019W02","Georgia","Females","Number","575"
"2019W03","Belgium","Total","Number","2 312"
"2019W03","Belgium","Males","Number","1 138"
"2019W03","Belgium","Females","Number","1 174"
"2019W03","Bulgaria","Total","Number","2 756"
"2019W03","Bulgaria","Males","Number","1 438"
"2019W03","Bulgaria","Females","Number","1 318"
"2019W03","Czechia","Total","Number","2 311"
"2019W03","Czechia","Males","Number","1 204"
"2019W03","Czechia","Females","Number","1 107"
"2019W03","Denmark","Total","Number","1 118"
"2019W03","Denmark","Males","Number","561"
"2019W03","Denmark","Females","Number","557"
"2019W03","Germany (until 1990 former territory of the FRG)","Total","Number","19 163"
"2019W03","Germany (until 1990 former territory of the FRG)","Males","Number",":"
"2019W03","Germany (until 1990 former territory of the FRG)","Females","Number",":"
"2019W03","Estonia","Total","Number","383"
"2019W03","Estonia","Males","Number","184"
"2019W03","Estonia","Females","Number","199"
"2019W03","Greece","Total","Number","3 039"
"2019W03","Greece","Males","Number","1 501"
"2019W03","Greece","Females","Number","1 538"
"2019W03","Spain","Total","Number","10 476"
"2019W03","Spain","Males","Number","5 173"
"2019W03","Spain","Females","Number","5 303"
"2019W03","France","Total","Number","13 497"
"2019W03","France","Males","Number","6 608"
"2019W03","France","Females","Number","6 889"
"2019W03","Croatia","Total","Number","1 238"
"2019W03","Croatia","Males","Number","600"
"2019W03","Croatia","Females","Number","638"
"2019W03","Italy","Total","Number","15 325"
"2019W03","Italy","Males","Number","7 367"
"2019W03","Italy","Females","Number","7 958"
"2019W03","Cyprus","Total","Number","156"
"2019W03","Cyprus","Males","Number","83"
"2019W03","Cyprus","Females","Number","73"
"2019W03","Latvia","Total","Number","669"
"2019W03","Latvia","Males","Number","332"
"2019W03","Latvia","Females","Number","337"
"2019W03","Lithuania","Total","Number","910"
"2019W03","Lithuania","Males","Number","436"
"2019W03","Lithuania","Females","Number","474"
"2019W03","Luxembourg","Total","Number","81"
"2019W03","Luxembourg","Males","Number","32"
"2019W03","Luxembourg","Females","Number","49"
"2019W03","Hungary","Total","Number","3 037"
"2019W03","Hungary","Males","Number","1 408"
"2019W03","Hungary","Females","Number","1 629"
"2019W03","Malta","Total","Number","116"
"2019W03","Malta","Males","Number","55"
"2019W03","Malta","Females","Number","61"
"2019W03","Netherlands","Total","Number","3 153"
"2019W03","Netherlands","Males","Number","1 522"
"2019W03","Netherlands","Females","Number","1 631"
"2019W03","Austria","Total","Number","1 642"
"2019W03","Austria","Males","Number","790"
"2019W03","Austria","Females","Number","852"
"2019W03","Poland","Total","Number","8 700"
"2019W03","Poland","Males","Number","4 458"
"2019W03","Poland","Females","Number","4 242"
"2019W03","Portugal","Total","Number","2 985"
"2019W03","Portugal","Males","Number","1 474"
"2019W03","Portugal","Females","Number","1 511"
"2019W03","Romania","Total","Number","6 256"
"2019W03","Romania","Males","Number","3 248"
"2019W03","Romania","Females","Number","3 008"
"2019W03","Slovenia","Total","Number","481"
